id,acquiror_name,target_name,announcement_date,target_status,acquisition_count,shares_at_announcement,car_3,car_5,car_10,month,rel_deal_value,cross_border,relatedness,economic_sector_ac,business_sector_ac,economic_sector_target,business_sector_target,cluster_category,a_fin_adv_count,t_fin_adv_count,shares_acquired,consideration_offered,bidder_count,car_1
1629274020,SuperValu Inc,Total Logistics Inc,04/01/2005,public,23,no,0.0013080420118526,0.0180408936558373,0.0564284266231462,1,0.024921951654624918,cross_border,not_related,Consumer Non-Cyclicals,Food & Drug Retailing,Industrials,Transportation,divestiture,1,0,full,Cash,1,-0.0093619289839946
1631278020,Fulton Financial Corp,"SVB Financial Services Inc, Sommerville,New Jersey",11/01/2005,public,18,no,0.0044535109881448,0.0126964279022807,0.0448068359820681,1,0.008012257423874118,cross_border,industry,Financials,Banking & Investment Services,Financials,Banking & Investment Services,asset_driven_op,0,0,full,Other,1,-0.0112488669618986
1631266040,Cleveland-Cliffs Inc,Portman Ltd,12/01/2005,public,8,no,0.05695844100647,0.0559167285588252,0.0169175576572709,1,0.38279165547497535,national,industry,Basic Materials,Mineral Resources,Basic Materials,Mineral Resources,divestiture,0,0,not_full,Cash,1,0.0130613908603777
1632555020,Colonial BancGroup Inc,"FFLC Bancorp Inc,Leesburg, Florida",18/01/2005,public,40,no,-0.0100421981513455,0.002115717209333,0.0405442001477811,1,0.014665427180615516,cross_border,industry,Financials,Banking & Investment Services,Financials,Banking & Investment Services,asset_driven_op,0,0,full,Other,1,0.0604756916892131
1634502020,Cimarex Energy Co,Magnum Hunter Resources Inc,26/01/2005,public,0,no,-0.0822881961973898,-0.0822881961973898,-0.0617404687955809,1,2.000162829616898,cross_border,industry,Energy,Energy - Fossil Fuels,Energy,Energy - Fossil Fuels,asset_driven_op,0,0,full,Other,1,-0.0937596951765432
1634798040,Photronics Inc,PKL Co Ltd,26/01/2005,public,18,yes,-0.0060711445443373,-0.0060711445443373,0.0715139483923941,1,0.009737990766093461,national,not_related,Industrials,Industrial Goods,Technology,Technology Equipment,private_companies,0,0,not_full,Cash,1,0.0242730576377977
1635132020,Procter & Gamble Co,Gillette Co,28/01/2005,public,50,no,-0.0510907076282398,-0.0743806260078339,-0.0711375247208048,1,0.8710942061175275,cross_border,industry_group,Consumer Non-Cyclicals,Personal & Household Products & Services,Consumer Non-Cyclicals,Personal & Household Products & Services,asset_driven_op,0,2,full,Other,1,-0.0464568314210179
1635755020,MetLife Inc,Travelers Life & Annuity Co,31/01/2005,others,10,no,-0.0362679375552676,-0.0285653307054605,-0.0405880991593339,1,0.030659962090129014,cross_border,industry,Financials,Insurance,Financials,Insurance,divestiture,1,1,full,Other,1,-0.017499960415765
1635935020,Hormel Foods Corp,Arriba Foods Inc,31/01/2005,others,12,no,0.0130687525869006,0.0065202324462046,-0.0115994471954086,1,0.018039456513395256,cross_border,industry,Consumer Non-Cyclicals,Food & Beverages,Consumer Non-Cyclicals,Food & Beverages,divestiture,0,0,full,Cash,1,0.0114479702715141
1635997020,Natural Resource Partners LP,Plum Creek Timber Co Inc-Coal Assets,31/01/2005,others,5,no,-0.017824035125628,0.0219952594320572,0.0196272417280553,1,0.036670944943576755,cross_border,industry,Energy,Energy - Fossil Fuels,Energy,Energy - Fossil Fuels,divestiture,0,0,full,Cash,1,0.0229926814328571
1660449020,Cedar Shopping Centers Inc,Giltz & Associates Inc-Drug Stores Portfolio(21),03/02/2005,others,4,no,0.0451834057508202,0.0451834057508202,-0.014350473068615,2,0.12319248144855491,cross_border,not_related,Real Estate,Real Estate,Consumer Non-Cyclicals,Food & Drug Retailing,divestiture,0,0,full,Other,1,0.0027027908339124
1638030020,Inverness Medical Innovations Inc,Binax Inc,08/02/2005,others,8,no,-1.0687047144388488,-1.7481174575634078,580.8667335593792,2,0.09624784853700516,cross_border,industry_group,Healthcare,Healthcare Services & Equipment,Healthcare,Healthcare Services & Equipment,asset_driven_op,0,0,full,Other,1,-1.0687047144388488
1639217020,The Hartford Financial Services Group Inc,Union Labor Life Insurance Co- Group Life & Accident Policies,14/02/2005,others,9,no,-0.0054610151410526,0.0111691297266385,0.023140401168289,2,0.0001118326674790603,cross_border,economic_sector,Financials,Banking & Investment Services,Financials,Insurance,divestiture,0,0,full,Cash,1,0.0046472724622328
1639721020,Inverness Medical Innovations Inc,Ischemia Technologies Inc,16/02/2005,others,9,no,28113.175906792985,28113.175906792985,28118.965272505626,2,0.038554216867469876,cross_border,economic_sector,Healthcare,Healthcare Services & Equipment,Healthcare,Pharmaceuticals & Medical Research,asset_driven_op,0,0,full,Other,1,28113.175906792985
1640498040,EnerSys Inc,Fiamm SpA-Motive Power Battery Business,16/02/2005,others,1,no,-0.0657563169844012,-0.0657563169844012,-0.0428721539644775,2,0.0277815804784558,national,industry_group,Industrials,Industrial Goods,Industrials,Industrial Goods,divestiture,1,1,full,Cash,1,-0.0815944515625806
1641018020,Illumina Inc,CyVera Corp,22/02/2005,others,0,no,-0.1259195472969199,-0.1591376999648412,-0.245745427324371,2,0.1762722579285639,cross_border,economic_sector,Technology,Technology Equipment,Technology,Software & IT Services,asset_driven_op,0,0,full,Other,1,-0.0893346399961049
1661643020,ICU Medical Inc,Hospira Inc-Salt Lake City Manufacturing Facility,28/02/2005,others,1,no,0.1243122309776518,0.1376922742221278,0.2019487181442866,2,0.21241730897614855,cross_border,industry,Healthcare,Healthcare Services & Equipment,Healthcare,Healthcare Services & Equipment,divestiture,0,0,full,Cash,1,0.0853228666098163
1643543040,Curtiss-Wright Corp,Indal Technologies Inc,03/03/2005,others,26,no,0.0135600627092261,0.0333629869250918,-0.0097787105148656,3,0.06777609682299546,national,business_sector,Industrials,Industrial Goods,Industrials,Industrial Goods,divestiture,0,0,full,Cash,1,0.0381043771848582
